Nombre,Correo_electronico,Teléfono,Rol,Contraseña
Usuario 1,usuario1@ejemplo.com,555-0101,Estudiante,contraseña1
Usuario 2,usuario2@ejemplo.com,555-0102,Administrador,contraseña2
Usuario 3,usuario3@ejemplo.com,555-0103,Profesor,contraseña3
Usuario 4,usuario4@ejemplo.com,555-0104,Estudiante,contraseña4
Usuario 5,usuario5@ejemplo.com,555-0105,Profesor,contraseña5
Usuario 6,usuario6@ejemplo.com,555-0106,Profesor,contraseña6
Usuario 7,usuario7@ejemplo.com,555-0107,Administrador,contraseña7
Usuario 8,usuario8@ejemplo.com,555-0108,Administrador,contraseña8
Usuario 9,usuario9@ejemplo.com,555-0109,Estudiante,contraseña9
Usuario 10,usuario10@ejemplo.com,555-01010,Profesor,contraseña10
Usuario 11,usuario11@ejemplo.com,555-01011,Estudiante,contraseña11
Usuario 12,usuario12@ejemplo.com,555-01012,Profesor,contraseña12
Usuario 13,usuario13@ejemplo.com,555-01013,Estudiante,contraseña13
Usuario 14,usuario14@ejemplo.com,555-01014,Administrador,contraseña14
Usuario 15,usuario15@ejemplo.com,555-01015,Estudiante,contraseña15
Usuario 16,usuario16@ejemplo.com,555-01016,Profesor,contraseña16
Usuario 17,usuario17@ejemplo.com,555-01017,Administrador,contraseña17
Usuario 18,usuario18@ejemplo.com,555-01018,Profesor,contraseña18
Usuario 19,usuario19@ejemplo.com,555-01019,Profesor,contraseña19
Usuario 20,usuario20@ejemplo.com,555-01020,Profesor,contraseña20
Usuario 21,usuario21@ejemplo.com,555-01021,Administrador,contraseña21
Usuario 22,usuario22@ejemplo.com,555-01022,Profesor,contraseña22
Usuario 23,usuario23@ejemplo.com,555-01023,Estudiante,contraseña23
Usuario 24,usuario24@ejemplo.com,555-01024,Estudiante,contraseña24
Usuario 25,usuario25@ejemplo.com,555-01025,Estudiante,contraseña25
Usuario 26,usuario26@ejemplo.com,555-01026,Administrador,contraseña26
Usuario 27,usuario27@ejemplo.com,555-01027,Estudiante,contraseña27
Usuario 28,usuario28@ejemplo.com,555-01028,Estudiante,contraseña28
Usuario 29,usuario29@ejemplo.com,555-01029,Administrador,contraseña29
Usuario 30,usuario30@ejemplo.com,555-01030,Estudiante,contraseña30
